Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1569748380892680192,"V MAGAZINE: CHROMATICA BALL DIARIES BY HEDI SLIMANE
COVER 2 https://t.co/nnxiTVSsug",Lady Gaga,ladygaga,2022-09-13T18:02:33.000Z,Tue Sep 13 18:02:33 +0000 2022,36737,4905,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Fcjd0v4acAA45SE.jpg,,,
1569688023499153408,"V MAGAZINE: CHROMATICA BALL DIARIES BY HEDI SLIMANE
COVER 1 https://t.co/LyDbyQPPCq",Lady Gaga,ladygaga,2022-09-13T14:02:42.000Z,Tue Sep 13 14:02:42 +0000 2022,45729,7905,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,0,photo,https://pbs.twimg.com/media/Fcim78GacAQ_KwL.jpg,,,
1568869383799476224,"52,000 people. Sold out. 30 cameras pointed at you and one take 🖤 #monster #ChromaticaBallLA 
I LOVE YOU🔥🔥🔥🔥🔥🔥🔥 https://t.co/NbAQxMItj8",Lady Gaga,ladygaga,2022-09-11T07:49:43.000Z,Sun Sep 11 07:49:43 +0000 2022,35455,4828,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/missmeliii/status/1568861079165616129 ,2,0,,,,,
1568796184583753729,@bluffnwmymuffn @hauslabs All makeup by @hauslabs,Lady Gaga,ladygaga,2022-09-11T02:58:51.000Z,Sun Sep 11 02:58:51 +0000 2022,1115,76,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,3,,,,,
1568660312362188800,@faellofgucci @hauslabs Yes please,Lady Gaga,ladygaga,2022-09-10T17:58:57.000Z,Sat Sep 10 17:58:57 +0000 2022,1211,87,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1568501024931061760,@judenewland611 @hauslabs Look at that red carpet triclone beauty!,Lady Gaga,ladygaga,2022-09-10T07:26:00.000Z,Sat Sep 10 07:26:00 +0000 2022,575,48,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1568500931234516992,@wbkgaga @hauslabs No I GOT CHU 😚,Lady Gaga,ladygaga,2022-09-10T07:25:38.000Z,Sat Sep 10 07:25:38 +0000 2022,2449,162,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1568326047028084737,"@ari_joanne @hauslabs We’ve been developing, improving and innovating it for years and testing it on me on red carpets, stage, and photo shoots…it was a real work of art made for you! ❤️❤️❤️",Lady Gaga,ladygaga,2022-09-09T19:50:42.000Z,Fri Sep 09 19:50:42 +0000 2022,1128,125,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,2,,,,,
1568268480243445760,"I hope you feel and see the immense amount of work that went into the shade formulations in the Foundation. I'm excited for you to meet your match!

Triclone Skin Tech Foundation 
Available now @hauslabs @sephora https://t.co/MnJk1WrhTb",Lady Gaga,ladygaga,2022-09-09T16:01:57.000Z,Fri Sep 09 16:01:57 +0000 2022,3531,396,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,https://seph.me/3THtXFk ,0,2,,,,,
1568268474614714370,My team at @hauslabs and I worked closely with a powerhouse of industry experts and more than 400 models to create a true breakthrough in clean artistry makeup rooted in product innovation and performance. https://t.co/r0k69tcKjV,Lady Gaga,ladygaga,2022-09-09T16:01:56.000Z,Fri Sep 09 16:01:56 +0000 2022,9145,928,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,video,https://video.twimg.com/ext_tw_video/1568268418654273542/pu/pl/GNJxyhwLv63g-f0D.m3u8?tag=12&container=fmp4,,,
1567913657191010306,"Our Triclone Skin Tech Foundation comes in 51 shades, in a longwear formula that's also clean and has 20+ skincare ingredients. 

Finally, a clean foundation for makeup lovers.

Shop now: https://t.co/MnJk1WrhTb https://t.co/vzj6KSAe1h",Lady Gaga,ladygaga,2022-09-08T16:32:00.000Z,Thu Sep 08 16:32:00 +0000 2022,7453,844,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://seph.me/3THtXFk ,0,0,photo,https://pbs.twimg.com/media/FcJZKEAaUAQiZ47.jpg,,,
1567906402722783232,"The team at @hauslabs and I worked for more than 2 years on the development of this groundbreaking innovation in clean foundation with buildable, medium coverage, 20+ skincare ingredients and a natural finish. 
We can't wait to see what you think of it! https://t.co/MnJk1WrhTb https://t.co/TlBobgXMcZ",Lady Gaga,ladygaga,2022-09-08T16:03:11.000Z,Thu Sep 08 16:03:11 +0000 2022,13668,1417,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://seph.me/3THtXFk ,0,1,photo,https://pbs.twimg.com/media/FcJSj_HaMAIt2z9.jpg,,,
1567789872060170241,@mikeonreplay The talc-free bio-blurring powder is also MY FAVORITE. Doesn’t sting or smell and has a major blurring and setting finish,Lady Gaga,ladygaga,2022-09-08T08:20:08.000Z,Thu Sep 08 08:20:08 +0000 2022,552,68,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Reply,,0,1,,,,,
1567788448165277698,51 shades of Triclone Skin Tech Foundation…find your match with our quiz at https://t.co/sWGFHvF9Co,Lady Gaga,ladygaga,2022-09-08T08:14:28.000Z,Thu Sep 08 08:14:28 +0000 2022,6013,737,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,http://www.hauslabs.com ,0,0,,,,,
1567787123440521217,"My new 😭 Skin tech foundation is out NOW! https://t.co/EyFcS6wmum and https://t.co/Q9BJpL6x8c.  This is a work of art, my red carpet formula!!! A true innovation. I’m at home crying about how much I care about the ability of beauty to generate self-love. Enjoy my friends ❤️❤️❤️",Lady Gaga,ladygaga,2022-09-08T08:09:12.000Z,Thu Sep 08 08:09:12 +0000 2022,7527,979,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,http://Www.hauslabs.com http://sephora.com ,0,0,,,,,
1566260123307507712,SOLD OUT STADIUM NIGHT 2 in TOKYO https://t.co/jpfXg4QvWu,Lady Gaga,ladygaga,2022-09-04T03:01:27.000Z,Sun Sep 04 03:01:27 +0000 2022,19396,1881,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.tiktok.com/t/ZTRPVVM1j/ ,0,0,,,,,
1564958247702110208,RT @iamfaelz : She’s my favorite actress 🥹 @ladygaga https://t.co/2L1m3qPraM,Lady Gaga,ladygaga,2022-08-31T12:48:16.000Z,Wed Aug 31 12:48:16 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,1,video,https://video.twimg.com/ext_tw_video/1564701662446583813/pu/vid/480x270/yZrHHgrZQjQQv9_p.mp4?tag=12,,,
1564651827236597762,"Haus Labs is trying to revolutionize the way you think about clean foundation.

Who's excited to try a clean foundation that feels like skincare, but performs like makeup?

Launching September 8 @sephora @hauslabs https://t.co/8RMEprK4TC https://t.co/zKbXOdiN9D",Lady Gaga,ladygaga,2022-08-30T16:30:40.000Z,Tue Aug 30 16:30:40 +0000 2022,7856,992,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://bit.ly/3Rhu8F8 ,0,2,video,https://video.twimg.com/ext_tw_video/1564651804344057856/pu/vid/480x600/1dpvcKhTzx7g_SMq.mp4?tag=12,,,
1564644433454592001,"51 Shades of Clean, Supercharged Artistry Foundation
5 Shades of Clean, Talc-Free Supercharged Loose Setting Powder
1 Luxe, Cruelty-Free Foundation Brush like you've never felt before

Launching September 8 @sephora @hauslabs https://t.co/8RMEprK4TC https://t.co/rlwrUsPzlP",Lady Gaga,ladygaga,2022-08-30T16:01:17.000Z,Tue Aug 30 16:01:17 +0000 2022,8349,1152,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://bit.ly/3Rhu8F8 ,0,2,video,https://video.twimg.com/ext_tw_video/1564644413074468864/pu/vid/320x400/xh7o9LcLDsdqp1as.mp4?tag=12,,,
1564636803352903682,"NEW @HausLabs coming September 8 

Can you guess what it is? https://t.co/1h9Tbt1bOX",Lady Gaga,ladygaga,2022-08-30T15:30:58.000Z,Tue Aug 30 15:30:58 +0000 2022,40941,3259,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,,0,1,photo,https://pbs.twimg.com/media/Fba04QZakAc6rBH.jpg,,,
1562905355251814401,https://t.co/iZXIMSbBwx,Lady Gaga,ladygaga,2022-08-25T20:50:48.000Z,Thu Aug 25 20:50:48 +0000 2022,12835,1517,zxx,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://www.tiktok.com/t/ZTRf45McE/ ,0,0,,,,,
1562362781046808576,"❤️ love little monsters. So cool to be back with my people, you’re all superstars https://t.co/rVunMIFpZQ",Lady Gaga,ladygaga,2022-08-24T08:54:48.000Z,Wed Aug 24 08:54:48 +0000 2022,41312,3663,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/lilmonstertingz/status/1562205044195430400 ,0,0,,,,,
1559408271416500225,No I’m surrounded by superstars!!! https://t.co/mHPljfJE3b,Lady Gaga,ladygaga,2022-08-16T05:14:38.000Z,Tue Aug 16 05:14:38 +0000 2022,23745,2249,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/stefanimamaa/status/1559407987638390784 ,0,0,,,,,
1559407117471289345,No the stadium was on 🔥 https://t.co/7EmE9ZtU4G,Lady Gaga,ladygaga,2022-08-16T05:10:03.000Z,Tue Aug 16 05:10:03 +0000 2022,30391,2474,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/Dominic_Criso/status/1559406291847610368 ,0,0,,,,,
1559405299055923203,No YOU AMAZE ME https://t.co/bKCowIyKWg,Lady Gaga,ladygaga,2022-08-16T05:02:50.000Z,Tue Aug 16 05:02:50 +0000 2022,31113,2401,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Tweet,https://twitter.com/eamm_97/status/1559404646317318144 ,0,0,,,,,
1559253020084412417,"RT @hauslabs : This red coral lip 💥 @ladygaga rocks vegan and cruelty-free Atomic Shake Lip Lacquer in ‘Red Coral Shine’ for a transfer-proof, mirror-like shine that lasts and lasts. Grab the only shade in stock https://t.co/oC0AnGq6rA https://t.co/D8crwEwu5f",Lady Gaga,ladygaga,2022-08-15T18:57:44.000Z,Mon Aug 15 18:57:44 +0000 2022,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,https://bit.ly/3RZUxbN ,0,1,video,https://video.twimg.com/ext_tw_video/1559240579120107520/pu/vid/320x568/s7bVVAdzpz5Of0ci.mp4?tag=12,,,
